"PUZZLE","CATEGORY","DATE USED"
"WE'RE EXPECTING A BABY RUTH","Before & After","1/22/09 (#4974)"
"THE SEVEN WONDERS OF THE ANCIENT WORLD","Things","1/22/09 (#4974)"
"OUR NECK OF THE WOODS","Phrase","1/22/09 (#4974)"
"HAMLET PRINCE OF DENMARK","Fictional Character","1/22/09 (#4974)"
"FACE VALUE","Phrase","1/22/09 (#4974)"
"PARENT-TEACHER ASSOCIATION","People","1/23/09 (#4975)"
"NOUNS & PRONOUNS","Things","1/23/09 (#4975)"
"PIPPI LONGSTOCKING","Fictional Character","1/23/09 (#4975)"
"GAZING AT CONSTELLATIONS IN THE NIGHT SKY","Fun & Games","1/23/09 (#4975)"
"FRESH PINEAPPLE JUICE","Food & Drink","1/23/09 (#4975)"
"DOUBLE OVEN","In the Kitchen","1/23/09 (#4975)"
"THE DOG ATE MY HOMEWORK","Phrase","1/23/09 (#4975)"
"CABBAGE PATCH","Place","1/23/09 (#4975)"
"TAKING IT EASY","What Are You Doing?","1/26/09 (#4976)"
"REGULAR CUSTOMER","Person","1/26/09 (#4976)"
"DANIEL CRAIG AS JAMES BOND","Star & Role","1/26/09 (#4976)"
"DOWNHILL & CROSS-COUNTRY SKIING","Fun & Games","1/26/09 (#4976)"
"SWEET POTATO PIE CHART","Before & After","1/26/09 (#4976)"
"SUPPORTING CAST","Show Biz","1/26/09 (#4976)"
"BIGGEST GAME OF THE SEASON","Event","1/26/09 (#4976)"
"MIXED SIGNALS","Phrase","1/26/09 (#4976)"
"LET YOUR HAIR DOWN","Phrase","1/27/09 (#4977)"
"SPOILSPORT","Person","1/27/09 (#4977)"
"GRILLED GERMAN BRATWURST","Food & Drink","1/27/09 (#4977)"
"LINGERING OVER THE SUNDAY NEWSPAPER","What Are You Doing?","1/27/09 (#4977)"
"WRINKLE-FREE COTTON CANDY","Before & After","1/27/09 (#4977)"
"ROARING LIONS","Living Things","1/27/09 (#4977)"
"PERSONALIZED LICENSE PLATE","Thing","1/27/09 (#4977)"
"DUFFEL BAG","Thing","1/27/09 (#4977)"
"A NICE HOT SHOWER","Thing","1/28/09 (#4978)"
"EGG TIMER","In the Kitchen","1/28/09 (#4978)"
"IT VANISHED INTO THIN AIR","Phrase","1/28/09 (#4978)"
"FLYING OFF TO A TROPICAL PARADISE","Event","1/28/09 (#4978)"
"SAN DIEGO & CELL PHONE CHARGERS","Same Name","1/28/09 (#4978)"
"MELLOW YELLOW","Rhyme Time","1/28/09 (#4978)"
"CONTRIBUTING EDITOR","Occupation","1/28/09 (#4978)"
"BALCONY","Place","1/28/09 (#4978)"
"DEEP-TISSUE MASSAGE","Thing","1/29/09 (#4979)"
"THE PHILIPPINE ISLANDS","On the Map","1/29/09 (#4979)"
"ALL THE BELLS AND WHISTLES","Phrase","1/29/09 (#4979)"
"CITY OF BROTHERLY LOVE HANDLES","Before & After","1/29/09 (#4979)"
"GRABBING A BITE BEFORE THE SHOW","What Are You Doing?","1/29/09 (#4979)"
"THE ALAMO","Landmark","1/29/09 (#4979)"
"ENTERTAINMENT WEEKLY","Title","1/29/09 (#4979)"
"HALL OF FAMERS","People","1/29/09 (#4979)"
"FIGURE IT OUT","Phrase","1/29/09 (#4979)"
"CASUAL FRIDAY","Event","1/30/09 (#4980)"
"RODEO ANNOUNCER","Occupation","1/30/09 (#4980)"
"LOUNGING UNDER A BEACH UMBRELLA","What Are You Doing?","1/30/09 (#4980)"
"AN EXTRA SCOOP OF ICE CREAM","Food & Drink","1/30/09 (#4980)"
"EVERY BREATH YOU TAKE BY THE POLICE","Song/Artist","1/30/09 (#4980)"
"STAIN REMOVER","Around the House","1/30/09 (#4980)"
"FOREIGN DIPLOMAT","Person","1/30/09 (#4980)"
"NAUGHTY BOY","Person","1/30/09 (#4980)"
"A NICE LONG WEEKEND","Event","2/2/09 (#4981)"
"WALDEN POND","Landmark","2/2/09 (#4981)"
"THE LITTLE ENGINE THAT COULD","Title","2/2/09 (#4981)"
"WILDLIFE SANCTUARIES","Places","2/2/09 (#4981)"
"NEWSPAPER ARTICLE OF CLOTHING","Before & After","2/2/09 (#4981)"
"A GOOD SPORT","Person","2/2/09 (#4981)"
"HOOK LINE AND SINKER","Phrase","2/2/09 (#4981)"
"QUICK GLIMPSE","Thing","2/2/09 (#4981)"
"TACKLE BOX","Around the House","2/3/09 (#4982)"
"MINERAL WATER","Food & Drink","2/3/09 (#4982)"
"UNIQUE OCEANFRONT DINING EXPERIENCE","Event","2/3/09 (#4982)"
"PERIODIC & PICNIC TABLE","Same Name","2/3/09 (#4982)"
"THE CURIOUS CASE OF BENJAMIN BUTTON","Movie Title","2/3/09 (#4982)"
"GAME WARDEN","Occupation","2/3/09 (#4982)"
"HOLD YOUR HEAD HIGH","Phrase","2/3/09 (#4982)"
"SHIRTS AND SKINS","Fun & Games","2/3/09 (#4982)"
"SIGNAPORE","On the Map","2/3/09 (#4982)"
"SOPHOMORE YEAR","Event","2/3/09 (#4982)"
"TAKE THE BAIT","Phrase","2/4/09 (#4983)"
"PORT & STARBOARD","Places","2/4/09 (#4983)"
"UNIDENTIFIED FLYING OBJECTS","Things","2/4/09 (#4983)"
"BASKING ON A PRIVATE BEACH","Fun & Games","2/4/09 (#4983)"
"DAVID LETTERMAN'S TOP TEN LIST","Show Biz","2/4/09 (#4983)"
"LAKE TROUT","Living Things","2/4/09 (#4983)"
"FAMILY GET-TOGETHER","Event","2/4/09 (#4983)"
"LAUGH IT UP","Phrase","2/4/09 (#4983)"
"FIELD & STREAM","Title","2/5/09 (#4984)"
"CALLING IT A DAY","What Are You Doing?","2/5/09 (#4984)"
"WHICHEVER WAY THE WIND BLOWS","Phrase","2/5/09 (#4984)"
"RECYCLED PLASTIC SURGEON","Before & After","2/5/09 (#4984)"
"WATCHING CLIFF DIVERS FROM THE DECK OF A SHIP","Event","2/5/09 (#4984)"
"IN THE SPOTLIGHT","Show Biz","2/5/09 (#4984)"
"A SCHOOL OF MINNOWS","Living Things","2/5/09 (#4984)"
"GRANDKIDS","People","2/5/09 (#4984)"
"TELLING TALL TALES","What Are You Doing?","2/6/09 (#4985)"
"CHRYSANTHEMUMS","Living Things","2/6/09 (#4985)"
"OLD WORLD CATHEDRALS AND PALACES","Places","2/6/09 (#4985)"
"ROW ROW ROW YOUR BOAT GENTLY DOWN THE STREAM","Quotation","2/6/09 (#4985)"
"GRILLED ALBACORE TUNA WITH LEMON","Food & Drink","2/6/09 (#4985)"
"A COMPLETE UNKNOWN","Person","2/6/09 (#4985)"
"THE ONE THAT GOT AWAY","Phrase","2/6/09 (#4985)"
"OVER AND OUT","Phrase","2/6/09 (#4985)"
"ROMANTIC GETAWAY","Event","2/9/09 (#4986)"
"HERBAL TEA","Food & Drink","2/9/09 (#4986)"
"THAT'S WHAT I'M TALKING ABOUT","Phrase","2/9/09 (#4986)"
"YOU MAY NOW KISS THE BRIDE OF FRANKENSTEIN","Before & After","2/9/09 (#4986)"
"SUN-DRENCHED VINEYARDS","Places","2/9/09 (#4986)"
"WEDDING MINISTER","Person","2/9/09 (#4986)"
"UNDERWATER CAMERA","Thing","2/9/09 (#4986)"
"FIFTH GRADER","Person","2/9/09 (#4986)"
"TOGETHER FOREVER","Rhyme Time","2/10/09 (#4987)"
"DUBLIN IRELAND","On the Map","2/10/09 (#4987)"
"SECRET SANDY COVE","Place","2/10/09 (#4987)"
"DAVID & VICTORIA BECKHAM","Husband & Wife","2/10/09 (#4987)"
"THE BEST SEATS IN THE HOUSE DRESSING","Before & After","2/10/09 (#4987)"
"CAPTAIN OF THE SHIP","Person","2/10/09 (#4987)"
"MOISTURIZING CONDITIONER","Around the House","2/10/09 (#4987)"
"TV JUDGE","Show Biz","2/10/09 (#4987)"
"HEAD OVER HEELS","Phrase","2/11/09 (#4988)"
"HOTEL DOORMAN","Occupation","2/11/09 (#4988)"
"CHERRY BLOSSOM FESTIVAL","Event","2/11/09 (#4988)"
"SIPPING DELICIOUS RUM PUNCH","What Are You Doing?","2/11/09 (#4988)"
"FRIAR & TUMMY TUCK","Same Name","2/11/09 (#4988)"
"PIANO LOUNGE","Place","2/11/09 (#4988)"
"SALT & PEPPER SHAKERS","In the Kitchen","2/11/09 (#4988)"
"HEROIC EFFORT","Phrase","2/11/09 (#4988)"
"ANNIVERSARY CARD","Thing","2/12/09 (#4989)"
"THE FORBIDDEN CITY","Landmark","2/12/09 (#4989)"
"ONE DOZEN LONG-STEMMED RED ROSES","Living Things","2/12/09 (#4989)"
"DANCING THE NIGHT AWAY TO A SALSA BEAT","Fun & Games","2/12/09 (#4989)"
"LARRY KING-SIZED BED","Before & After","2/12/09 (#4989)"
"TENDER LOVING CARE","Phrase","2/12/09 (#4989)"
"BUSY INTERSECTION","Place","2/12/09 (#4989)"
"BOOKMARK","Thing","2/12/09 (#4989)"
"TANDEM BICYCLE","Thing","2/13/09 (#4990)"
"CEILING FAN","Around the House","2/13/09 (#4990)"
"GOING TO THE CHAPEL AND WE'RE GOING TO GET MARRIED","Song Lyrics","2/13/09 (#4990)"
"YOUR GUESS IS AS GOOD AS MINE","Phrase","2/13/09 (#4990)"
"ENJOYING A FROZEN MARGARITA","What Are You Doing?","2/13/09 (#4990)"
"FAMILY OWNED & OPERATED","Phrase","2/13/09 (#4990)"
"SLICE OF CANTALOUPE","Food & Drink","2/13/09 (#4990)"
"OAK BENCH","Thing","2/13/09 (#4990)"
"NATURE LOVER","Person","2/16/09 (#4991)"
"SANDWICH BAGS","In the Kitchen","2/16/09 (#4991)"
"ACTOR ROBERT DOWNEY JR.","Proper Name","2/16/09 (#4991)"
"SEARCHING FOR A FOUR-LEAF CLOVER","What Are You Doing?","2/16/09 (#4991)"
"CINNAMON ROLL WITH THE PUNCHES","Before & After","2/16/09 (#4991)"
"MOCKINGBIRDS","Living Things","2/16/09 (#4991)"
"MOTORCYCLE MECHANIC","Occupation","2/16/09 (#4991)"
"ALL-STAR GAME","Event","2/16/09 (#4991)"
"WE THINK ALIKE","Phrase","2/16/09 (#4991)"
"PARK RANGER","Occupation","2/17/09 (#4992)"
"ENGLISH BULLDOGS","Living Things","2/17/09 (#4992)"
"THE GATEWAY TO THE NORTH","Place","2/17/09 (#4992)"
"DEBUTANTE BALL AND CHAIN","Before & After","2/17/09 (#4992)"
"SGT. PEPPER'S LONELY HEARTS CLUB BAND","Rock On!","2/17/09 (#4992)"
"TRIAL AND ERROR","Phrase","2/17/09 (#4992)"
"LITERARY MASTERPIECE","Thing","2/17/09 (#4992)"
"ROASTED CHESTNUTS","Food & Drink","2/17/09 (#4992)"
"FULLY QUALIFIED","Phrase","2/17/09 (#4992)"
"WILD HORSES","Living Things","2/18/09 (#4993)"
"POETRY IN MOTION","Phrase","2/18/09 (#4993)"
"MAKEUP WARDROBE AND ACCESSORIES","Show Biz","2/18/09 (#4993)"
"COUNTRY MUSIC HALL OF FAME AND MUSEUM","Landmark","2/18/09 (#4993)"
"RUNNING OFF TO AN ISLAND HIDEAWAY","Event","2/18/09 (#4993)"
"MARLEY & ME","Movie Title","2/18/09 (#4993)"
"PARTY SUPPLY STORE","Place","2/18/09 (#4993)"
"TIGHT-KNIT GROUP","People","2/18/09 (#4993)"
"VARSITY SQUAD","People","2/18/09 (#4993)"
"CAMP COUNSELOR","Person","2/19/09 (#4994)"
"WAFFLE IRON","In the Kitchen","2/19/09 (#4994)"
"U.S. DEPARTMENT OF THE INTERIOR","Thing","2/19/09 (#4994)"
"BANANA COCONUT PUDDING","Food & Drink","2/19/09 (#4994)"
"TACO & TINKER BELL","Same Name","2/19/09 (#4994)"
"WATERING THE PLANTS","What Are You Doing?","2/19/09 (#4994)"
"WEDDING RECEPTION","Event","2/19/09 (#4994)"
"TIME FOR PLAN B","Phrase","2/19/09 (#4994)"
"DOUBLE COUPONS","Things","2/19/09 (#4994)"
"GOING BACKPACKING","What Are You Doing?","2/20/09 (#4995)"
"ESCAPE ARTIST","Person","2/20/09 (#4995)"
"FANTASTIC SURFING SPOT","Place","2/20/09 (#4995)"
"ANIMATED HIT MOVIE WALL-E","Show Biz","2/20/09 (#4995)"
"THERE'S A NEW SHERRIFF IN TOWN","Phrase","2/20/09 (#4995)"
"VENDING MACHINE","Thing","2/20/09 (#4995)"
"JUST MY IMAGINATION","Song Lyrics","2/20/09 (#4995)"
"HONEYDEW MELON","Food & Drink","2/20/09 (#4995)"
"HIGH TIDE","Event","2/20/09 (#4995)"
"PLAYING PING-PONG","Fun & Games","2/23/09 (#4996)"
"LIVE VIA SATELLITE","Show Biz","2/23/09 (#4996)"
"SPELLING BEE CHAMPION","Person","2/23/09 (#4996)"
"SEEING THE SIGHTS FROM A DOUBLE-DECKER BUS","Event","2/23/09 (#4996)"
"BOARDWALK AND PARK PLACE MAT","Before & After","2/23/09 (#4996)"
"ALBEQUERQUE NEW MEXICO","On the Map","2/23/09 (#4996)"
"CREAM OF BROCCOLI SOUP","Food & Drink","2/23/09 (#4996)"
"OPERA HOUSE","Place","2/23/09 (#4996)"
"AMERICAN SAMOA","On the Map","2/24/09 (#4997)"
"GROUNDSKEEPER","Occupation","2/24/09 (#4997)"
"PROGRAMMING YOUR DIGITAL VIDEO RECORDER","What Are You Doing?","2/24/09 (#4997)"
"CONVERTIBLE & BIKINI TOP","Same Name","2/24/09 (#4997)"
"BALD EAGLES GLIDING OVERHEAD","Living Things","2/24/09 (#4997)"
"BRIDAL SHOWER","Event","2/24/09 (#4997)"
"GOING AGAINST THE GRAIN","Phrase","2/24/09 (#4997)"
"PUBLIC OPINION","Thing","2/24/09 (#4997)"
"BISMARK NORTH DAKOTA","On the Map","2/25/09 (#4998)"
"ACTOR KEVIN COSTNER","Proper Name","2/25/09 (#4998)"
"ADMIRING THE SUN SETTING OVER THE PACIFIC","What Are You Doing?","2/25/09 (#4998)"
"OPEN-FACED ROAST BEEF SANDWICH","Food & Drink","2/25/09 (#4998)"
"NIGHT-LIGHT BEER","Before & After","2/25/09 (#4998)"
"SHIP'S GALLEY","Place","2/25/09 (#4998)"
"TOOTING YOUR OWN HORN","Phrase","2/25/09 (#4998)"
"FLIP A COIN","Phrase","2/25/09 (#4998)"
"FLOATING ON AIR","Phrase","2/26/09 (#4999)"
"ARCHAEOLOGIST","Occupation","2/26/09 (#4999)"
"TEQUILA COCKTAIL RECIPES","Things","2/26/09 (#4999)"
"STEAK SALAD AND FRESH-CUT FRIES","Food & Drink","2/26/09 (#4999)"
"SLEEPY DOPEY & HAPPY ENDING","Before & After","2/26/09 (#4999)"
"A FARAWAY LAND","Place","2/26/09 (#4999)"
"THINKING OUT LOUD","What Are You Doing?","2/26/09 (#4999)"
"PSYCHIC POWERS","Things","2/26/09 (#4999)"
"A HUGE MILESTONE","Event","2/27/09 (#5000)"
"SPIN OR SOLVE","Phrase","2/27/09 (#5000)"
"THE MAGIC OF TELEVISION","Show Biz","2/27/09 (#5000)"
"FRESH SEAFOOD AND SOURDOUGH BREAD","Event","2/27/09 (#5000)"
"OFTEN IMITATED NEVER DUPLICATED","Rhyme Time","2/27/09 (#5000)"
"SECRET FORMULA","Thing","2/27/09 (#5000)"
"YOU AIN'T SEEN NOTHIN' YET","Song Lyrics","2/27/09 (#5000)"
"HOT WAX","Thing","2/27/09 (#5000)"
"MARINE MAMMALS","Living Things","3/2/09 (#5001)"
"FOOD CRITIC","Occupation","3/2/09 (#5001)"
"RISING TO THE OCCASION","Phrase","3/2/09 (#5001)"
"WIRELESS & LOVE CONNECTION","Same Name","3/2/09 (#5001)"
"A ONCE-IN-A-LIFETIME JOURNEY","Event","3/2/09 (#5001)"
"FAVORITE SONG","Thing","3/2/09 (#5001)"
"SENDING A TEXT MESSAGE","What Are You Doing?","3/2/09 (#5001)"
"RIGHT ON CUE","Phrase","3/2/09 (#5001)"
"BLUE WHALE","Living Thing","3/3/09 (#5002)"
"SEEDLESS GRAPES","Food & Drink","3/3/09 (#5002)"
"REACHING FOR THE STARS","Living Thing","3/3/09 (#5002)"
"A NEW SET OF DESIGNER LUGGAGE","Around the House","3/3/09 (#5002)"
"LOOK BEFORE YOU LEAP YEAR","Before & After","3/3/09 (#5002)"
"PIGGYBACK RIDE","Thing","3/3/09 (#5002)"
"THE MOMENT OF TRUTH","Phrase","3/3/09 (#5002)"
"RAVE REVIEW","Show Biz","3/3/09 (#5002)"
"LEOPARD SHARK","Living Thing","3/4/09 (#5003)"
"OPENING ACT","Show Biz","3/4/09 (#5003)"
"BRUSHING UP ON MY SPANISH","What Are You Doing?","3/4/09 (#5003)"
"TWENTY THOUSAND LEAGUES UNDER THE SEA","Title","3/4/09 (#5003)"
"VICTORIA'S SECRET HANDSHAKE","Before & After","3/4/09 (#5003)"
"CHECK THIS OUT","Phrase","3/4/09 (#5003)"
"COLORFUL CORAL REEF","Place","3/4/09 (#5003)"
"JUST WIN","Phrase","3/4/09 (#5003)"
"FINS & FLIPPERS","Things","3/5/09 (#5004)"
"A BLAST FROM THE PAST","Rhyme Time","3/5/09 (#5004)"
"MARCO POLO SHIRT","Before & After","3/5/09 (#5004)"
"SMASH-HIT BROADWAY MUSICAL","Show Biz","3/5/09 (#5004)"
"LEGENDARY ISLAND OF ATLANTIS","Fictional Place","3/5/09 (#5004)"
"SNOOZE BUTTON","Around the House","3/5/09 (#5004)"
"WATER WATER EVERYWHERE","Quotation","3/5/09 (#5004)"
"VIVID MEMORY","Thing","3/5/09 (#5004)"
"SIRENS & MERMAIDS","Fictional Characters","3/6/09 (#5005)"
"THE LATEST TREND","Phrase","3/6/09 (#5005)"
"CHOCOLATE CHUNK BROWNIES","Food & Drink","3/6/09 (#5005)"
"FULL-TIME & NOSE JOB","Same Name","3/6/09 (#5005)"
"GENTLY BLOWING TRADE WINDS","Things","3/6/09 (#5005)"
"ROLLER COASTER","Fun & Games","3/6/09 (#5005)"
"OUT-TAKES & BLOOPERS","Show Biz","3/6/09 (#5005)"
"BIKE CHAIN","Thing","3/6/09 (#5005)"
"KISSING COUSINS","People","3/9/09 (#5006)"
"SAMANTHA WHO?","TV Title","3/9/09 (#5006)"
"REJUVENATING HOT SPRINGS","Places","3/9/09 (#5006)"
"A LITTLE BUNDLE OF JOY BEHAR","Before & After","3/9/09 (#5006)"
"THE SIERRA MADRE MOUNTAINS","On the Map","3/9/09 (#5006)"
"PARTY HEARTY","Rhyme Time","3/9/09 (#5006)"
"PICTURE PERFECT","Phrase","3/9/09 (#5006)"
"DIGITAL IMAGE","Thing","3/9/09 (#5006)"
"THE IN-LAWS","People","3/10/09 (#5007)"
"GRAND BALLROOM","Place","3/10/09 (#5007)"
"ADAM'S APPLE STRUDEL","Before & After","3/10/09 (#5007)"
"FRED WILMA & PEBBLES FLINTSTONE","Fictional Family","3/10/09 (#5007)"
"EXPERIENCING ANCIENT CULTURES","Event","3/10/09 (#5007)"
"THE HOMESTRETCH","Thing","3/10/09 (#5007)"
"PLEASE REPEAT AFTER ME","Phrase","3/10/09 (#5007)"
"VAGUE NOTION","Thing","3/10/09 (#5007)"
"KID SISTER","Person","3/11/09 (#5008)"
"WHITE GARDENIAS","Living Things","3/11/09 (#5008)"
"SALAD BAR EXAM","Before & After","3/11/09 (#5008)"
"NO SHIRT NO SHOES NO PROBLEM","Phrase","3/11/09 (#5008)"
"QUARTERBACKS PEYTON & ELI MANNING","Family","3/11/09 (#5008)"
"PET PROJECT","Thing","3/11/09 (#5008)"
"GOOGLING MYSELF","What Are You Doing?","3/11/09 (#5008)"
"JUICY TIDBITS","Things","3/11/09 (#5008)"
"MAMA'S BOY","Person","3/12/09 (#5009)"
"BREAKFAST NOOK","Place","3/12/09 (#5009)"
"BROTHERS GRIMM FAIRY TALES","Title","3/12/09 (#5009)"
"AWE-INSPIRING SCENERY","Thing","3/12/09 (#5009)"
"FIELD OF WHEAT THINS","Before & After","3/12/09 (#5009)"
"KEEP IN TOUCH","Phrase","3/12/09 (#5009)"
"MONARCH BUTTERFLIES","Living Things","3/12/09 (#5009)"
"ANTIQUE TRUNK","Thing","3/12/09 (#5009)"
"FAMILY TREE","Thing","3/13/09 (#5010)"
"MATH TUTOR","Person","3/13/09 (#5010)"
"THE PICK OF THE LITTER","Phrase","3/13/09 (#5010)"
"LILY & LAUNCHING PAD","Same Name","3/13/09 (#5010)"
"ROLLING PRARIES & SOARING PEAKS","Places","3/13/09 (#5010)"
"POLAR BEAR CUBS","Living Things","3/13/09 (#5010)"
"BLOWING BUBBLES","Fun & Games","3/13/09 (#5010)"
"NIFTY TRICK","Thing","3/13/09 (#5010)"
"BREADWINNER","Person","3/16/09 (#5011)"
"TAKE A CHANCE ON ME","Song Title","3/16/09 (#5011)"
"ACTRESS JENNIFER ANISTON","Proper Name","3/16/09 (#5011)"
"TOOTSIE ROLLS-ROYCE","Before & After","3/16/09 (#5011)"
"BREAK OUT THE SUNSCREEN","Phrase","3/16/09 (#5011)"
"HOT TO TROT","Rhyme Time","3/16/09 (#5011)"
"FLAVOR OF THE MONTH","Thing","3/16/09 (#5011)"
"WHIRLPOOL","Thing","3/16/09 (#5011)"
"PINK FLAMINGOS","Living Things","3/17/09 (#5012)"
"SENIOR ADVISOR","Person","3/17/09 (#5012)"
"TEEMING WITH DIVERSE WILDLIFE","Phrase","3/17/09 (#5012)"
"NANCY GRACE PERIOD","Before & After","3/17/09 (#5012)"
"VERMONT MAPLE SYRUP","Food & Drink","3/17/09 (#5012)"
"SPINNING TOP","Fun & Games","3/17/09 (#5012)"
"PEACEFUL MEADOW","Place","3/17/09 (#5012)"
"AUDIO AND VIDEO","Things","3/17/09 (#5012)"
"BUSINESS TYCOON","Person","3/18/09 (#5013)"
"CORN ON THE COB","Food & Drink","3/18/09 (#5013)"
"GOLF AND COLLISION COURSE","Same Name","3/18/09 (#5013)"
"CRISP CLEAN MOUNTAIN AIR","Thing","3/18/09 (#5013)"
"SPORTING A NEW PAIR OF FLIP-FLOPS","What Are You Doing?","3/18/09 (#5013)"
"CULINARY SCHOOL","Place","3/18/09 (#5013)"
"DROP-DEAD GORGEOUS","Phrase","3/18/09 (#5013)"
"BOLD MOVE","Thing","3/18/09 (#5013)"
"EASY STREET","Phrase","3/19/09 (#5014)"
"PEANUT BRITTLE","Food & Drink","3/19/09 (#5014)"
"DAIRY QUEEN LATIFAH","Before & After","3/19/09 (#5014)"
"BREATHTAKING COASTLINES","Places","3/19/09 (#5014)"
"BOUNCING AROUND ON A TRAMPOLINE","Fun & Games","3/19/09 (#5014)"
"BIG BLABBERMOUTH","Person","3/19/09 (#5014)"
"SIMPLY IRRESISTABLE","Song Title","3/19/09 (#5014)"
"HOME GYM","Place","3/19/09 (#5014)"
"FOUNTAIN OF YOUTH","Thing","3/20/09 (#5015)"
"ELECTRIC WOK","In the Kitchen","3/20/09 (#5015)"
"DANCING THE HULA","What Are You Doing?","3/20/09 (#5015)"
"TRIAL BY FIRE EXTINGUISHER","Before & After","3/20/09 (#5015)"
"THAT REALLY HIT THE SPOT","Phrase","3/20/09 (#5015)"
"PASSING FOR FASHION","Rhyme Time","3/20/09 (#5015)"
"WELCOMING COMMITTE","People","3/20/09 (#5015)"
"RUGGED TERRAIN","Place","3/20/09 (#5015)"
"VALID POINT","Phrase","3/20/09 (#5015)"
"SMART START","Rhyme Time","3/23/09 (#5016)"
"TRAVEL AGENT","Occupation","3/23/09 (#5016)"
"I GET AROUND BY THE BEACH BOYS","Song/Artist","3/23/09 (#5016)"
"CITY STREETS AND COUNTRY ROADS","Things","3/23/09 (#5016)"
"DON'T FORGET TO BRING THE CAMERA","Phrase","3/23/09 (#5016)"
"HOWLING COYOTES","Living Things","3/23/09 (#5016)"
"BRAINSTORMING IDEAS","What Are You Doing?","3/23/09 (#5016)"
"SIT-UPS & PULL-UPS","Fun & Games","3/23/09 (#5016)"
"MAGIC WAND","Thing","3/23/09 (#5016)"
"GLOVE COMPARTMENT","Thing","3/24/09 (#5017)"
"WELCOME MAT","Around the House","3/24/09 (#5017)"
"HIGHWAY PATROL OFFICER","Occupation","3/24/09 (#5017)"
"CRISPY NACHO CHIPS AND CREAMY GUACAMOLE","Food & Drink","3/24/09 (#5017)"
"USE A LITTLE BIT OF ELBOW GREASE","Phrase","3/24/09 (#5017)"
"TAMPA BAY FLORIDA","On the Map","3/24/09 (#5017)"
"BACKSTAGE PASS","Show Biz","3/24/09 (#5017)"
"DO ME A FAVOR","Phrase","3/24/09 (#5017)"
"WIDE-OPEN SPACES","Places","3/25/09 (#5018)"
"ACTOR GREG KINNEAR","Proper Name","3/25/09 (#5018)"
"CLEAR SKIES AND SMOOTH WATERS","Phrase","3/25/09 (#5018)"
"PITTSBURGH STEELERS WIN SIXTH SUPER BOWL TITLE","Headline","3/25/09 (#5018)"
"ATTORNEY GENERAL ADMISSION","Before & After","3/25/09 (#5018)"
"READING A MAP","What Are You Doing?","3/25/09 (#5018)"
"CALENDAR OF EVENTS","Thing","3/25/09 (#5018)"
"SHINY COIN","Thing","3/25/09 (#5018)"
"HOT ON THE TRAIL","Phrase","3/26/09 (#5019)"
"HOOVER DAM","Landmark","3/26/09 (#5019)"
"AMERICAN AUTOMOBILE ASSOCIATION","Proper Name","3/26/09 (#5019)"
"SHAKING THE SAND OUT OF MY SHOES","What Are You Doing?","3/26/09 (#5019)"
"COFFEE BREAK DANCING","Before & After","3/26/09 (#5019)"
"REARVIEW MIRROR","Thing","3/26/09 (#5019)"
"LET THE GOOD TIMES ROLL","Song Lyrics","3/26/09 (#5019)"
"OFF THE HOOK","Phrase","3/26/09 (#5019)"
"RULES OF THE ROAD","Things","3/27/09 (#5020)"
"FIRST-AID KIT","Around the House","3/27/09 (#5020)"
"THE NATIONAL MALL IN WASHINGTON D.C.","Landmark","3/27/09 (#5020)"
"A HORSE WITH NO NAME TAG","Before & After","3/27/09 (#5020)"
"YOUR OWN PRIVATE POOL AND SUN DECK","Places","3/27/09 (#5020)"
"DEFINING MOMENT","Thing","3/27/09 (#5020)"
"TOLLBOOTH OPERATOR","Occupation","3/27/09 (#5020)"
"GOLF PRO","Person","3/27/09 (#5020)"
"RECYCLING CENTER","Place","3/30/09 (#5021)"
"MONOPOLY MONEY","Fun & Games","3/30/09 (#5021)"
"MADE WITH ALL NATURAL INGREDIENTS","Phrase","3/30/09 (#5021)"
"ROYAL CANADIAN MOUNTED POLICE","People","3/30/09 (#5021)"
"SOLAR POWER STEERING","Before & After","3/30/09 (#5021)"
"WICKER BASKET","Around the House","3/30/09 (#5021)"
"NONPROFIT ORGANIZATION","Thing","3/30/09 (#5021)"
"WILD GUESS","Thing","3/30/09 (#5021)"
"HYBRID VEHICLE","Thing","3/31/09 (#5022)"
"READ THE LABEL","Phrase","3/31/09 (#5022)"
"THE STUFF THAT DREAMS ARE MADE OF","Quotation","3/31/09 (#5022)"
"INCREDIBLE VOLCANIC ISLANDS","Places","3/31/09 (#5022)"
"VOTING FOR YOUR FAVORITE AMERICAN IDOL CONTESTANT","Show Biz","3/31/09 (#5022)"
"DOING CARTWHEELS","Fun & Games","3/31/09 (#5022)"
"DEDICATED VIEWERS","People","3/31/09 (#5022)"
"AVID FAN","Person","3/31/09 (#5022)"
"COMMUNITY GARDEN","Place","4/1/09 (#5023)"
"SIGNING A PETITION","What Are You Doing?","4/1/09 (#5023)"
"ONE HUNDRED AND TEN PERCENT","Phrase","4/1/09 (#5023)"
"SIERRA CLUB SANDWICH","Before & After","4/1/09 (#5023)"
"EMBARKING ON A TROPICAL ADVENTURE","Event","4/1/09 (#5023)"
"SCHOOL NURSE","Occupation","4/1/09 (#5023)"
"RECHARGEABLE BATTERIES","Around the House","4/1/09 (#5023)"
"TRIVIA QUIZ","Thing","4/1/09 (#5023)"
"REUSABLE SHOPPING BAG","Around the House","4/2/09 (#5024)"
"FUTURE GENERATIONS","People","4/2/09 (#5024)"
